CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER
248,7,1422
249,9,18002
251,4,18003
252,3,4452
252,3,18003
253,6,17681
253,6,659
253,6,244
253,6,830
253,6,66
255,5,43
259,3,43
260,3,4481
263,4,1436
264,5,15830
265,3,1196
266,3,667
270,4,18006
276,7,43
277,23,14734
277,23,6853
277,23,4
278,6,1174
282,10,67
283,4,2930
283,4,3082
283,4,528
283,4,18631
283,4,29
283,4,929
283,4,664
283,4,2187
284,9,4452
285,6,256
285,6,67
285,6,173
287,5,31
288,3,246
288,3,155
288,3,2958
288,3,18012
290,7,34
290,7,288
290,7,253
291,5,59
291,5,2
295,3,802
297,6,9
298,8,19
298,8,9
301,7,43
305,5,19
305,5,2172
305,5,2098
306,10,27
306,10,561
306,10,77
306,10,17879
307,17,3896
308,11,18000
310,9,452
310,9,16056
312,5,1544
312,5,61
313,3,1174
317,14,21554
318,4,17992
319,6,816
319,6,1233
319,6,22252
319,6,862
320,3,1436
323,4,705
323,4,836
323,4,74
324,5,452
326,8,185
327,28,100
331,3,18021
331,3,2207
331,3,17971
331,3,17974
331,3,454
331,3,17006
331,3,6204
332,5,2502
333,6,144
336,5,452
338,5,6641
338,5,3442
338,5,6
339,10,16335
339,10,809
339,10,18313
339,10,416
339,10,77
341,3,6057
342,8,2
343,5,3940
343,5,16537
344,7,214
344,7,3287
344,7,1155
346,4,359
346,4,6086
347,4,4294
347,4,155
347,4,113
347,4,73
348,4,659
349,5,6035
350,4,455
351,3,998
352,11,3287
355,14,142
356,3,94
358,4,6605
359,5,18006
365,5,192
366,3,2740
369,4,1439
371,4,59
371,4,338
371,4,657
372,5,17976
372,5,2870
373,8,341
374,12,17196
375,6,1555
375,6,3596
376,3,27
377,9,1174
379,4,62
383,4,32
384,8,394
384,8,161
386,3,15264
386,3,39
386,3,2790
386,3,302
386,3,412
386,3,15525
386,3,15405
386,3,77
388,4,6119
388,4,897
389,8,19205
390,3,897
390,3,0
392,7,184
393,4,155
394,3,1498
396,10,3012
398,6,7091
398,6,326
398,6,19112
398,6,3295
398,6,1602
398,6,7092
399,5,18749
400,14,705
401,5,452
402,3,359
402,3,954
402,3,662
403,10,197
404,3,6838
404,3,6174
404,3,36
404,3,6504
405,8,18975
405,8,768
405,8,42
405,8,650
406,3,9542
406,3,22601
406,3,8769
406,3,19733
406,3,2083
406,3,1881
406,3,301
406,3,9538
406,3,8763
406,3,673
407,18,14734
407,18,20361
408,4,954
408,4,4608
408,4,1599
408,4,203
410,3,18566
411,5,59
413,3,2207
413,3,18058
415,10,18673
415,10,15478
417,12,9
417,12,27
418,6,184
419,10,6853
422,5,2136
422,5,17960
424,6,18888
424,6,1312
425,12,353
425,12,42
426,5,47
428,14,18
429,3,6807
430,7,5597
430,7,5598
430,7,713
431,4,359
431,4,46
432,5,416
432,5,6035
433,5,17962
437,8,234
442,9,5814
446,4,312
447,11,1176
448,6,272
449,7,416
450,16,18940
451,11,354
452,9,6
452,9,19195
452,9,6086
453,13,1575
454,10,153
456,3,6600
456,3,250
456,3,253
456,3,19653
456,3,5487
456,3,643
456,3,2403
456,3,804
456,3,1643
456,3,1721
456,3,19654
456,3,6981
456,3,198
458,3,6
460,5,18752
460,5,94
460,5,16
460,5,768
461,9,334
462,18,19211
462,18,6452
463,8,153
463,8,17332
464,14,341
465,5,17808
466,12,3827
467,5,6233
470,4,19000
470,4,140
470,4,583
470,4,2526
470,4,2527
470,4,276
470,4,19001
471,13,897
475,9,452
476,5,18109
477,5,2740
478,4,193
479,11,19211
479,11,6452
479,11,468
480,21,659
481,3,272
481,3,367
482,6,142
482,6,64
482,6,18972
483,10,6
484,7,46
485,4,223
486,5,18940
486,5,359
486,5,18752
487,7,155
488,5,14953
489,4,6119
489,4,46
490,6,290
490,6,6244
492,3,177
493,5,359
494,19,19060
494,19,6452
495,3,277
495,3,328
496,7,46
497,9,15999
498,3,15999
499,11,14953
499,11,16766
500,3,22139
500,3,193
501,12,161
502,5,1609
502,5,19205
502,5,272
502,5,2610
504,3,380
504,3,42
504,3,19028
504,3,2024
504,3,184
505,5,717
505,5,412
505,5,2052
505,5,862
505,5,64
508,4,32
509,4,234
510,4,2740
511,6,6
512,4,14734
512,4,1235
512,4,5575
512,4,193
513,5,13
513,5,16
514,5,9542
515,5,193
515,5,161
515,5,27
516,3,4989
516,3,94
516,3,22642
516,3,32
516,3,515
517,8,193
518,4,1705
519,4,94
520,7,9
520,7,311
521,3,6086
522,3,6086
523,3,234
523,3,18972
524,5,234
525,7,64
528,13,234
530,7,535
531,8,94
532,4,142
533,3,67
534,15,2029
534,15,174
534,15,2772
534,15,6236
534,15,659
534,15,9581
534,15,387
534,15,2841
534,15,428
534,15,436
534,15,713
535,8,897
535,8,161
535,8,15999
536,5,6086
537,5,142
537,5,15999
538,4,46
541,8,183
541,8,22
541,8,1539
542,3,1333
543,8,2149
544,11,272
545,14,6873
546,17,139
550,7,46
551,7,6086
552,15,19218
553,4,94
554,7,6086
554,7,14734
555,11,6537
555,11,15905
556,3,897
556,3,662
556,3,66
557,9,15999
558,3,19205
559,4,16950
559,4,2004
561,5,4031
562,3,2011
563,13,66
564,11,64
565,4,142
567,8,14953
567,8,628
567,8,2740
567,8,290
567,8,6244
567,8,118
570,3,6110
570,3,94
571,9,628
572,3,18972
573,5,759
573,5,175
574,3,751
574,3,15415
574,3,15527
574,3,15484
574,3,10
576,3,234
577,4,234
579,3,290
579,3,6244
579,3,32
579,3,18972
579,3,64
579,3,174
581,5,64
582,3,312
582,3,32
585,3,6968
585,3,6719
585,3,240
585,3,6506
585,3,19
585,3,312
585,3,19501
585,3,930
585,3,19500
585,3,15264
585,3,652
585,3,67
585,3,173
585,3,6773
585,3,589
585,3,534
585,3,16396
585,3,6964
585,3,22
585,3,15065
585,3,1905
585,3,1890
585,3,2738
585,3,16687
585,3,293
585,3,10
585,3,458
585,3,166
585,3,27
585,3,1070
586,8,9158
587,8,272
590,4,5575
590,4,193
591,4,990
591,4,400
591,4,203
592,5,2191
593,3,94
593,3,64
594,4,607
594,4,6
594,4,349
594,4,333
595,4,58
595,4,289
595,4,5711
597,6,338
597,6,1075
599,6,18940
599,6,1735
599,6,15999
603,5,18940
603,5,768
604,9,175
605,6,18991
605,6,9158
605,6,9805
605,6,144
605,6,454
605,6,5711
606,3,5711
607,10,1235
608,4,2740
610,5,18972
611,7,2165
611,7,13
614,3,8
617,5,9
618,8,193
620,3,94
620,3,1075
622,3,184
622,3,34
622,3,139
622,3,141
624,3,804
624,3,14924
624,3,299
627,8,5091
628,16,6641
629,7,10
629,7,203
630,7,19258
630,7,9542
631,4,6086
634,3,144
635,8,174
635,8,75
635,8,1137
635,8,733
636,6,359
636,6,18940
637,6,51
639,7,43
640,7,1998
641,6,1539
642,5,272
643,3,2740
644,4,2740
646,5,5759
647,3,145
647,3,9
649,9,2098
651,5,659
653,5,271
653,5,2456
653,5,335
654,3,81
654,3,2000
654,3,2953
654,3,795
654,3,21581
654,3,16517
654,3,253
654,3,232
654,3,1835
654,3,89
654,3,6873
654,3,763
654,3,15325
654,3,20065
654,3,18635
654,3,483
654,3,664
654,3,420
654,3,27
654,3,424
654,3,11
655,6,43
656,7,8
657,14,16300
658,9,193
659,3,2740
662,5,18557
663,11,63
663,11,148
663,11,4271
663,11,2468
663,11,1584
663,11,18643
663,11,328
663,11,15054
663,11,15154
663,11,19002
663,11,2782
663,11,6272
663,11,12939
663,11,15552
663,11,6191
663,11,2056
666,4,18558
668,4,2740
669,8,2152
669,8,155
669,8,73
669,8,1041
669,8,531
669,8,1966
669,8,59
669,8,64
671,5,412
672,3,477
673,3,256
673,3,6730
673,3,173
673,3,2118
673,3,811
676,6,129
677,7,16050
677,7,18313
677,7,18320
677,7,14768
678,6,354
679,4,2740
680,6,628
684,5,19327
685,10,13
685,10,17240
686,11,6135
687,15,2148
688,4,145
688,4,203
689,6,522
689,6,2899
689,6,3492
690,4,4121
691,3,2588
691,3,6210
691,3,692
691,3,1196
691,3,19950
691,3,2908
691,3,574
691,3,19951
691,3,19943
691,3,22643
691,3,19939
691,3,19938
691,3,32
691,3,19449
691,3,19961
691,3,6774
691,3,3315
691,3,159
691,3,19450
691,3,19448
691,3,119
692,11,380
692,11,18940
692,11,897
692,11,326
692,11,6119
692,11,341
692,11,204
692,11,768
692,11,19211
695,3,2740
696,4,2740
697,5,367
697,5,2740
698,4,183
699,4,2740
700,3,2740
701,3,2740
702,3,2740
703,6,2740
704,4,4121
705,5,367
705,5,4121
706,3,18558
706,3,2740
707,4,2740
708,3,2740
709,4,2318
710,4,2740
711,4,2740
712,4,2740
714,5,5761
716,4,18581
716,4,2740
721,3,2740
721,3,5759
722,4,367
723,3,1591
723,3,2549
723,3,2740
724,5,1839
725,4,2740
727,3,2237
727,3,367
729,3,2237
729,3,18583
733,4,2740
734,3,367
735,3,2740
736,5,2309
737,3,2740
739,5,18555
740,6,183
741,13,13
742,4,94
742,4,17681
744,7,17198
744,7,2098
745,12,18003
746,6,18583
748,5,196
749,9,20
749,9,274
749,9,19000
749,9,15575
749,9,221
749,9,115
749,9,1011
751,3,2740
751,3,18555
753,4,18558
754,5,9
754,5,288
755,5,3
755,5,807
756,19,3723
757,3,6119
757,3,81
757,3,380
757,3,1998
757,3,2507
757,3,271
757,3,897
757,3,1615
757,3,359
