CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER,placed_at,final_qty,price,amount,top_cat,sub_cat
23,3,477,2021-05-31,700,178000.0,505880000.0,,
23,3,2740,2021-05-31,600,149000.0,505880000.0,,
23,3,1204,2021-05-31,700,172000.0,505880000.0,,
24,3,19017,2021-04-13,442,25714.0,488167588.0,,
26,8,22586,2021-10-15,1,864000.0,71846000.0,bahan masakan,kaldu & penyedap
26,8,5326,2021-10-15,50,58000.0,71846000.0,makanan ringan,kerupuk
28,16,11123,2021-12-23,2,1560000.0,63933250.0,makanan ringan,rokok
28,16,3166,2021-12-23,1,1870000.0,63933250.0,obat obatan,obat kaplet
29,3,8,2021-07-16,1,0.0,7500000.0,air minum dalam kemasan,botol
29,3,1397,2021-07-16,2,0.0,7500000.0,minuman dalam kemasan,botol
29,3,26,2021-07-16,1,0.0,7500000.0,minuman dalam kemasan,botol
29,3,16,2021-07-16,2,0.0,7500000.0,minuman bubuk,kopi instant
29,3,250,2021-07-16,1,0.0,7500000.0,makanan instant,mie instant
29,3,253,2021-07-16,2,0.0,7500000.0,makanan instant,mie instant
29,3,199,2021-07-16,20,0.0,7500000.0,makanan instant,mie instant
29,3,232,2021-07-16,1,0.0,7500000.0,makanan instant,mie instant
29,3,261,2021-07-16,2,0.0,7500000.0,minuman sachet,kopi instant
29,3,1369,2021-07-16,1,0.0,7500000.0,minuman dalam kemasan,minuman segar
29,3,1360,2021-07-16,1,0.0,7500000.0,makanan instant,mie instant
29,3,1455,2021-07-16,2,0.0,7500000.0,teh kemasan,teh celup
29,3,412,2021-07-16,1,0.0,7500000.0,makanan instant,mie instant
29,3,862,2021-07-16,20,0.0,7500000.0,makanan instant,mie instant
29,3,1717,2021-07-16,2,0.0,7500000.0,minuman sachet,teh
29,3,184,2021-07-16,2,0.0,7500000.0,minuman dalam kemasan,teh
29,3,819,2021-07-16,5,0.0,7500000.0,minuman dalam kemasan,gelas
30,6,8219,2021-10-13,200,240000.0,300015000.0,minuman dalam kemasan,kopi instant
30,6,46,2021-10-13,500,117250.0,300015000.0,minuman bubuk,kopi instant
30,6,5430,2021-10-13,20,203000.0,300015000.0,bahan masakan,kaldu & penyedap
30,6,45,2021-10-13,20,203000.0,300015000.0,bahan masakan,kaldu & penyedap
31,10,2220,2021-11-13,15,1665000.0,400076500.0,rokok,rokok
32,6,2055,2021-09-28,5,276000.0,16130000.0,rokok,rokok
39,3,468,2021-08-27,20,152000.0,20117500.0,bahan makanan,terigu
40,4,7557,2021-11-22,2,190000.0,1821500.0,bahan masakan,rokok
40,4,415,2021-11-22,1,116500.0,1821500.0,minuman bubuk,kopi instant
40,4,21554,2021-11-22,5,36000.0,1821500.0,makanan instant,mie instant
